leg_id,trip_id,sequence_no,start_ts,end_ts,mode,origin_label,destination_label,distance_km,duration_min,ticket_required,ticket_product_used,leg_note
trip_50b10228373a_00007_leg_002,trip_50b10228373a_00007,2,2026-01-05T19:35:00,2026-01-05T19:50:00,subway,U‑Bahnhof Gym,U‑Bahnhof Home,5.0,15,True,monthly_pass,Subway ride back towards home.
trip_50b10228373a_00007_leg_003,trip_50b10228373a_00007,3,2026-01-05T19:50:00,2026-01-05T20:05:00,walking,U‑Bahnhof Home,Apartment Berlin-Mitte,1.2,15,False,none,Final walk home.
trip_50b10228373a_00008_leg_001,trip_50b10228373a_00008,1,2026-01-06T08:20:00,2026-01-06T08:25:00,walking,Apartment Berlin-Mitte,U‑Bahnhof Home,0.4,5,False,none,Walk to the nearest U‑Bahnhof.
trip_50b10228373a_00008_leg_002,trip_50b10228373a_00008,2,2026-01-06T08:25:00,2026-01-06T08:40:00,subway,U‑Bahnhof Home,Mitte U‑Bahnhof,5.0,15,True,monthly_pass,Subway ride across the city centre.
trip_50b10228373a_00008_leg_003,trip_50b10228373a_00008,3,2026-01-06T08:40:00,2026-01-06T08:45:00,shared_bike,Mitte U‑Bahnhof,Tech Hub Office,1.5,5,False,none,Shared e‑bike for the last kilometre.
trip_50b10228373a_00009_leg_001,trip_50b10228373a_00009,1,2026-01-06T12:30:00,2026-01-06T12:35:00,walking,Tech Hub Office,Tram Stop B,0.4,5,False,none,Walk to the nearest tram stop.
trip_50b10228373a_00009_leg_002,trip_50b10228373a_00009,2,2026-01-06T12:35:00,2026-01-06T12:47:00,tram,Tram Stop B,Café Tram Stop,2.5,12,True,monthly_pass,Tram towards the restaurant district.
trip_50b10228373a_00009_leg_003,trip_50b10228373a_00009,3,2026-01-06T12:47:00,2026-01-06T12:52:00,walking,Café Tram Stop,Café am Gendarmenmarkt,0.3,5,False,none,Short walk to the café.
trip_50b10228373a_00010_leg_001,trip_50b10228373a_00010,1,2026-01-06T13:15:00,2026-01-06T13:20:00,walking,Café am Gendarmenmarkt,Café Tram Stop,0.3,5,False,none,Walk to tram stop.
trip_50b10228373a_00010_leg_002,trip_50b10228373a_00010,2,2026-01-06T13:20:00,2026-01-06T13:32:00,tram,Café Tram Stop,Tram Stop B,2.5,12,True,monthly_pass,Tram back towards the office.
trip_50b10228373a_00010_leg_003,trip_50b10228373a_00010,3,2026-01-06T13:32:00,2026-01-06T13:37:00,walking,Tram Stop B,Tech Hub Office,0.4,5,False,none,Final walk to the office.
trip_50b10228373a_00011_leg_001,trip_50b10228373a_00011,1,2026-01-06T18:00:00,2026-01-06T18:05:00,walking,Tech Hub Office,Bike Station C,0.4,5,False,none,Walk to shared‑bike dock.
trip_50b10228373a_00011_leg_002,trip_50b10228373a_00011,2,2026-01-06T18:05:00,2026-01-06T18:13:00,shared_bike,Bike Station C,Tram Stop D,2.0,8,False,none,Shared bike to the nearest tram stop.
trip_50b10228373a_00011_leg_003,trip_50b10228373a_00011,3,2026-01-06T18:13:00,2026-01-06T18:25:00,tram,Tram Stop D,Restaurant Tram Stop,2.5,12,True,monthly_pass,Tram towards the restaurant area.
trip_50b10228373a_00011_leg_004,trip_50b10228373a_00011,4,2026-01-06T18:25:00,2026-01-06T18:30:00,walking,Restaurant Tram Stop,Restaurant Kreuzberg,0.3,5,False,none,Short walk to the restaurant entrance.
trip_50b10228373a_00012_leg_001,trip_50b10228373a_00012,1,2026-01-06T20:30:00,2026-01-06T20:35:00,walking,Restaurant Kreuzberg,Tram Stop E,0.4,5,False,none,Walk to tram stop.
trip_50b10228373a_00012_leg_002,trip_50b10228373a_00012,2,2026-01-06T20:35:00,2026-01-06T20:50:00,tram,Tram Stop E,U‑Bahnhof Home,3.0,15,True,monthly_pass,Tram towards home.
trip_50b10228373a_00012_leg_003,trip_50b10228373a_00012,3,2026-01-06T20:50:00,2026-01-06T20:55:00,walking,U‑Bahnhof Home,Apartment Berlin-Mitte,0.4,5,False,none,Final walk home.
trip_50b10228373a_00013_leg_001,trip_50b10228373a_00013,1,2026-01-07T08:10:00,2026-01-07T08:15:00,walking,Apartment Berlin-Mitte,U‑Bahnhof Home,0.4,5,False,none,Walk to the nearest U‑Bahnhof.
trip_50b10228373a_00013_leg_002,trip_50b10228373a_00013,2,2026-01-07T08:15:00,2026-01-07T08:30:00,subway,U‑Bahnhof Home,Mitte U‑Bahnhof,5.0,15,True,monthly_pass,Subway across the city.
trip_50b10228373a_00013_leg_003,trip_50b10228373a_00013,3,2026-01-07T08:30:00,2026-01-07T08:35:00,shared_bike,Mitte U‑Bahnhof,Bike Dock Near Office,1.5,5,False,none,Shared e‑bike for the final kilometre.
trip_50b10228373a_00013_leg_004,trip_50b10228373a_00013,4,2026-01-07T08:35:00,2026-01-07T08:40:00,walking,Bike Dock Near Office,Tech Hub Office,0.4,5,False,none,Final walk into the office.
trip_50b10228373a_00014_leg_001,trip_50b10228373a_00014,1,2026-01-07T17:20:00,2026-01-07T17:25:00,walking,Tech Hub Office,Tram Stop F,0.4,5,False,none,Walk to tram stop.
trip_50b10228373a_00014_leg_002,trip_50b10228373a_00014,2,2026-01-07T17:25:00,2026-01-07T17:37:00,tram,Tram Stop F,Cinema Tram Stop,2.5,12,True,monthly_pass,Tram towards the cinema district.
trip_50b10228373a_00014_leg_003,trip_50b10228373a_00014,3,2026-01-07T17:37:00,2026-01-07T17:42:00,walking,Cinema Tram Stop,CineStar Berlin,0.3,5,False,none,Short walk to the cinema entrance.
trip_50b10228373a_00015_leg_001,trip_50b10228373a_00015,1,2026-01-07T20:30:00,2026-01-07T20:35:00,walking,CineStar Berlin,Cinema Subway Station,0.4,5,False,none,Walk to subway entrance.
trip_50b10228373a_00015_leg_002,trip_50b10228373a_00015,2,2026-01-07T20:35:00,2026-01-07T20:50:00,subway,Cinema Subway Station,U‑Bahnhof Home,5.0,15,True,monthly_pass,Subway ride back towards home.
trip_50b10228373a_00015_leg_003,trip_50b10228373a_00015,3,2026-01-07T20:50:00,2026-01-07T20:55:00,walking,U‑Bahnhof Home,Apartment Berlin-Mitte,0.4,5,False,none,Final walk home.
trip_50b10228373a_00016_leg_001,trip_50b10228373a_00016,1,2026-01-08T07:30:00,2026-01-08T07:35:00,walking,Apartment Berlin-Mitte,U‑Alexanderplatz Station,0.4,5,False,none,Walk to the nearest U‑Bahn station.
trip_50b10228373a_00016_leg_002,trip_50b10228373a_00016,2,2026-01-08T07:35:00,2026-01-08T07:47:00,subway,U‑Alexanderplatz Station,Mitte Station,4.0,12,True,monthly_pass,U2 ride to the office area.
trip_50b10228373a_00016_leg_003,trip_50b10228373a_00016,3,2026-01-08T07:47:00,2026-01-08T07:55:00,shared_bike,Mitte Station,Tech Hub Berlin (Mitte),1.2,8,False,none,Pick up a shared e‑bike for the last kilometre.
trip_50b10228373a_00017_leg_001,trip_50b10228373a_00017,1,2026-01-08T18:00:00,2026-01-08T18:03:00,walking,Tech Hub Berlin (Mitte),Tram Stop Am Friedrichstr.,0.2,3,False,none,Walk to the nearby tram stop.
trip_50b10228373a_00017_leg_002,trip_50b10228373a_00017,2,2026-01-08T18:03:00,2026-01-08T18:11:00,tram,Tram Stop Am Friedrichstr.,U‑Alexanderplatz Station,2.0,8,True,monthly_pass,Tram line 12 towards Alexanderplatz.
trip_50b10228373a_00017_leg_003,trip_50b10228373a_00017,3,2026-01-08T18:11:00,2026-01-08T18:20:00,shared_scooter,U‑Alexanderplatz Station,Apartment Berlin-Mitte,1.0,9,False,none,Scooter ride the final kilometre home.
trip_50b10228373a_00018_leg_001,trip_50b10228373a_00018,1,2026-01-09T07:35:00,2026-01-09T07:40:00,walking,Apartment Berlin-Mitte,U‑Alexanderplatz Station,0.4,5,False,none,Walk to the U‑Bahn.
trip_50b10228373a_00018_leg_002,trip_50b10228373a_00018,2,2026-01-09T07:40:00,2026-01-09T07:52:00,subway,U‑Alexanderplatz Station,Mitte Station,4.0,12,True,monthly_pass,U2 ride.
trip_50b10228373a_00018_leg_003,trip_50b10228373a_00018,3,2026-01-09T07:52:00,2026-01-09T08:00:00,shared_bike,Mitte Station,Tech Hub Berlin (Mitte),1.2,8,False,none,Shared e‑bike for the last kilometre.
trip_50b10228373a_00019_leg_001,trip_50b10228373a_00019,1,2026-01-09T17:30:00,2026-01-09T17:34:00,walking,Tech Hub Berlin (Mitte),Bike Rack Office,0.3,4,False,none,Walk to the bike rack.
trip_50b10228373a_00019_leg_002,trip_50b10228373a_00019,2,2026-01-09T17:34:00,2026-01-09T17:44:00,bike,Bike Rack Office,FitX Berlin,2.5,10,False,none,Ride own bike to the gym.
trip_50b10228373a_00020_leg_001,trip_50b10228373a_00020,1,2026-01-09T19:00:00,2026-01-09T19:08:00,bike,FitX Berlin,Apartment Berlin-Mitte,2.0,8,False,none,Bike ride home.
trip_50b10228373a_00021_leg_001,trip_50b10228373a_00021,1,2026-01-10T14:00:00,2026-01-10T14:03:00,walking,Apartment Berlin-Mitte,Tram Stop Karl-Marx-Str.,0.2,3,False,none,Walk to tram stop.
trip_50b10228373a_00021_leg_002,trip_50b10228373a_00021,2,2026-01-10T14:03:00,2026-01-10T14:13:00,tram,Tram Stop Karl-Marx-Str.,Alexa Mall Stop,3.0,10,True,monthly_pass,Tram line 16 to the mall.
trip_50b10228373a_00021_leg_003,trip_50b10228373a_00021,3,2026-01-10T14:13:00,2026-01-10T14:18:00,walking,Alexa Mall Stop,Alexa Mall,0.4,5,False,none,Short walk to the mall entrance.
trip_50b10228373a_00022_leg_001,trip_50b10228373a_00022,1,2026-01-10T20:00:00,2026-01-10T20:02:00,walking,Apartment Berlin-Mitte,Scooter Dock Alexanderplatz,0.1,2,False,none,Walk to the nearest scooter dock.
trip_50b10228373a_00022_leg_002,trip_50b10228373a_00022,2,2026-01-10T20:02:00,2026-01-10T20:08:00,shared_scooter,Scooter Dock Alexanderplatz,CineStar Berlin,1.0,6,False,none,Scooter ride to the cinema.
trip_50b10228373a_00022_leg_003,trip_50b10228373a_00022,3,2026-01-10T20:08:00,2026-01-10T20:11:00,walking,CineStar Berlin,CineStar Hall,0.2,3,False,none,Final walk to the cinema hall.
trip_50b10228373a_00023_leg_001,trip_50b10228373a_00023,1,2026-01-11T10:00:00,2026-01-11T10:05:00,walking,Apartment Berlin-Mitte,Berlin Hauptbahnhof,0.4,5,False,none,Walk to the main train station.
trip_50b10228373a_00023_leg_002,trip_50b10228373a_00023,2,2026-01-11T10:05:00,2026-01-11T10:35:00,regional_train,Berlin Hauptbahnhof,Potsdam Hauptbahnhof,30.0,30,True,monthly_pass,Regional train to Potsdam.
trip_50b10228373a_00023_leg_003,trip_50b10228373a_00023,3,2026-01-11T10:35:00,2026-01-11T10:40:00,walking,Potsdam Hauptbahnhof,Potsdam Museum,0.3,5,False,none,Short walk to the museum.
trip_50b10228373a_00024_leg_001,trip_50b10228373a_00024,1,2026-01-11T18:00:00,2026-01-11T18:05:00,walking,Potsdam Museum,Potsdam Hauptbahnhof,0.3,5,False,none,Walk to the station.
trip_50b10228373a_00024_leg_002,trip_50b10228373a_00024,2,2026-01-11T18:05:00,2026-01-11T18:35:00,regional_train,Potsdam Hauptbahnhof,Berlin Hauptbahnhof,30.0,30,True,monthly_pass,Regional train back to Berlin.
trip_50b10228373a_00024_leg_003,trip_50b10228373a_00024,3,2026-01-11T18:35:00,2026-01-11T18:40:00,walking,Berlin Hauptbahnhof,Apartment Berlin-Mitte,0.4,5,False,none,Final walk home.
trip_50b10228373a_00025_leg_001,trip_50b10228373a_00025,1,2026-01-12T07:30:00,2026-01-12T07:35:00,walking,Apartment Berlin-Mitte,U‑Alexanderplatz Station,0.4,5,False,none,Walk to U‑Bahn.
trip_50b10228373a_00025_leg_002,trip_50b10228373a_00025,2,2026-01-12T07:35:00,2026-01-12T07:47:00,subway,U‑Alexanderplatz Station,Mitte Station,4.0,12,True,monthly_pass,U2 ride.
trip_50b10228373a_00025_leg_003,trip_50b10228373a_00025,3,2026-01-12T07:47:00,2026-01-12T07:55:00,shared_bike,Mitte Station,Tech Hub Berlin (Mitte),1.2,8,False,none,Shared e‑bike for the last kilometre.
trip_50b10228373a_00026_leg_001,trip_50b10228373a_00026,1,2026-01-12T18:30:00,2026-01-12T18:33:00,walking,Tech Hub Berlin (Mitte),Tram Stop Rosa-Luxemburg-Platz,0.2,3,False,none,Walk to tram stop.
trip_50b10228373a_00026_leg_002,trip_50b10228373a_00026,2,2026-01-12T18:33:00,2026-01-12T18:41:00,tram,Tram Stop Rosa-Luxemburg-Platz,Prenzlauer Berg Stop,2.0,8,True,monthly_pass,Tram line 4 towards Prenzlauer Berg.
trip_50b10228373a_00026_leg_003,trip_50b10228373a_00026,3,2026-01-12T18:41:00,2026-01-12T18:45:00,walking,Prenzlauer Berg Stop,Friend's Flat Prenzlauer Berg,0.3,4,False,none,Short walk to the friend's apartment.
trip_50b10228373a_00027_leg_001,trip_50b10228373a_00027,1,2026-01-13T07:35:00,2026-01-13T07:40:00,walking,Apartment Berlin-Mitte,U‑Alexanderplatz Station,0.4,5,False,none,Walk to U‑Bahn.
trip_50b10228373a_00027_leg_002,trip_50b10228373a_00027,2,2026-01-13T07:40:00,2026-01-13T07:52:00,subway,U‑Alexanderplatz Station,Mitte Station,4.0,12,True,monthly_pass,U2 ride.
trip_50b10228373a_00027_leg_003,trip_50b10228373a_00027,3,2026-01-13T07:52:00,2026-01-13T08:00:00,shared_bike,Mitte Station,Tech Hub Berlin (Mitte),1.2,8,False,none,Shared e‑bike for the final stretch.
trip_50b10228373a_00028_leg_001,trip_50b10228373a_00028,1,2026-01-13T19:00:00,2026-01-13T19:02:00,walking,Tech Hub Berlin (Mitte),Bike Dock Alexanderplatz,0.1,2,False,none,Walk to bike dock.
trip_50b10228373a_00028_leg_002,trip_50b10228373a_00028,2,2026-01-13T19:02:00,2026-01-13T19:09:00,shared_bike,Bike Dock Alexanderplatz,Italian Bistro,1.0,7,False,none,Shared bike ride to restaurant.
trip_50b10228373a_00028_leg_003,trip_50b10228373a_00028,3,2026-01-13T19:09:00,2026-01-13T19:12:00,walking,Italian Bistro,Bistro Table,0.2,3,False,none,Final walk to the table.
trip_50b10228373a_00029_leg_001,trip_50b10228373a_00029,1,2026-01-14T07:30:00,2026-01-14T07:35:00,walking,Apartment Berlin-Mitte,U‑Alexanderplatz Station,0.4,5,False,none,Walk to the U‑Bahn.
trip_50b10228373a_00029_leg_002,trip_50b10228373a_00029,2,2026-01-14T07:35:00,2026-01-14T07:47:00,subway,U‑Alexanderplatz Station,Mitte Station,4.0,12,True,monthly_pass,U2 ride.
trip_50b10228373a_00029_leg_003,trip_50b10228373a_00029,3,2026-01-14T07:47:00,2026-01-14T07:55:00,shared_bike,Mitte Station,Tech Hub Berlin (Mitte),1.2,8,False,none,Shared e‑bike for the final kilometre.
trip_50b10228373a_00030_leg_001,trip_50b10228373a_00030,1,2026-01-14T20:00:00,2026-01-14T20:03:00,walking,Tech Hub Berlin (Mitte),Tram Stop Friedrichstr.,0.2,3,False,none,Walk to tram stop.
trip_50b10228373a_00030_leg_002,trip_50b10228373a_00030,2,2026-01-14T20:03:00,2026-01-14T20:11:00,tram,Tram Stop Friedrichstr.,CineStar Berlin,2.0,8,True,monthly_pass,Tram line 12 to the cinema.
trip_50b10228373a_00030_leg_003,trip_50b10228373a_00030,3,2026-01-14T20:11:00,2026-01-14T20:14:00,walking,CineStar Berlin,CineStar Hall,0.2,3,False,none,Final walk to the cinema hall.
trip_a0f99395143b_00001_leg_001,trip_a0f99395143b_00001,1,2026-01-01T07:30:00,2026-01-01T07:35:00,walking,Home,St. Pauli U‑Bahn Station,0.4,5,False,none,Walk from home to the nearest U‑Bahn station.
trip_a0f99395143b_00001_leg_002,trip_a0f99395143b_00001,2,2026-01-01T07:37:00,2026-01-01T07:49:00,subway,St. Pauli U‑Bahn Station,Jungfernstieg Station,6.0,12,True,monthly_pass,U3 subway ride to the city centre.
trip_a0f99395143b_00001_leg_003,trip_a0f99395143b_00001,3,2026-01-01T07:50:00,2026-01-01T08:00:00,bike,Jungfernstieg Station,Office City Centre,3.0,10,False,none,Bike the last kilometre to the office.
trip_a0f99395143b_00002_leg_001,trip_a0f99395143b_00002,1,2026-01-01T17:30:00,2026-01-01T17:40:00,bike,Office City Centre,Jungfernstieg Station,3.0,10,False,none,Bike from office to the subway station.
trip_a0f99395143b_00002_leg_002,trip_a0f99395143b_00002,2,2026-01-01T17:42:00,2026-01-01T17:54:00,subway,Jungfernstieg Station,St. Pauli U‑Bahn Station,6.0,12,True,monthly_pass,U3 subway back towards home.
trip_a0f99395143b_00002_leg_003,trip_a0f99395143b_00002,3,2026-01-01T17:55:00,2026-01-01T18:00:00,walking,St. Pauli U‑Bahn Station,Home 20095,0.4,5,False,none,Walk the short distance home.
trip_a0f99395143b_00003_leg_001,trip_a0f99395143b_00003,1,2026-01-01T18:15:00,2026-01-01T18:21:00,tram,Office City Centre,St. Pauli Tram Stop,2.0,6,True,monthly_pass,Tram line 6 to the gym area.
trip_a0f99395143b_00003_leg_002,trip_a0f99395143b_00003,2,2026-01-01T18:22:00,2026-01-01T18:26:00,walking,St. Pauli Tram Stop,FitX Gym,0.3,4,False,none,Short walk to the gym entrance.
trip_a0f99395143b_00003_leg_003,trip_a0f99395143b_00003,3,2026-01-01T18:27:00,2026-01-01T18:39:00,bike,FitX Gym,Home 20095,4.0,12,False,none,Bike home after the workout.
trip_a0f99395143b_00004_leg_001,trip_a0f99395143b_00004,1,2026-01-02T10:00:00,2026-01-02T10:08:00,walking,Home 20095,Café Elbgold,0.6,8,False,none,Walk to the nearby café.
trip_a0f99395143b_00004_leg_002,trip_a0f99395143b_00004,2,2026-01-02T10:30:00,2026-01-02T10:38:00,walking,Café Elbgold,Home 20095,0.6,8,False,none,Walk back home after coffee.
trip_a0f99395143b_00005_leg_001,trip_a0f99395143b_00005,1,2026-01-03T09:00:00,2026-01-03T09:07:00,walking,Home 20095,Hamburg Hbf,0.5,7,False,none,Walk to Hamburg main train station.
trip_a0f99395143b_00005_leg_002,trip_a0f99395143b_00005,2,2026-01-03T09:10:00,2026-01-03T10:40:00,regional_train,Hamburg Hbf,Lübeck Hbf,70.0,90,True,single_ticket,Regional train to Lübeck.
trip_a0f99395143b_00005_leg_003,trip_a0f99395143b_00005,3,2026-01-03T10:41:00,2026-01-03T10:47:00,walking,Lübeck Hbf,Friend's Apartment,0.5,6,False,none,Short walk to the friend's place.
trip_a0f99395143b_00006_leg_001,trip_a0f99395143b_00006,1,2026-01-04T10:00:00,2026-01-04T10:15:00,bike,Home 20095,Stadtpark Hamburg,5.0,15,False,none,Bike to the park for a relaxed Sunday morning.
trip_a0f99395143b_00007_leg_001,trip_a0f99395143b_00007,1,2026-01-04T16:00:00,2026-01-04T16:06:00,walking,Friend's Apartment,Lübeck Hbf,0.5,6,False,none,Walk to Lübeck train station.
trip_a0f99395143b_00007_leg_002,trip_a0f99395143b_00007,2,2026-01-04T16:10:00,2026-01-04T17:40:00,regional_train,Lübeck Hbf,Hamburg Hbf,70.0,90,True,single_ticket,Regional train back to Hamburg.
trip_a0f99395143b_00007_leg_003,trip_a0f99395143b_00007,3,2026-01-04T17:41:00,2026-01-04T17:48:00,walking,Hamburg Hbf,Home 20095,0.5,7,False,none,Walk home from the station.
trip_a0f99395143b_00008_leg_001,trip_a0f99395143b_00008,1,2026-01-04T19:00:00,2026-01-04T19:10:00,walking,Home 20095,Restaurant Fischereihafen,0.8,10,False,none,Walk to the restaurant.
trip_a0f99395143b_00008_leg_002,trip_a0f99395143b_00008,2,2026-01-04T20:15:00,2026-01-04T20:25:00,walking,Restaurant Fischereihafen,Home 20095,0.8,10,False,none,Walk back home after dinner.
trip_a0f99395143b_00009_leg_001,trip_a0f99395143b_00009,1,2026-01-05T07:30:00,2026-01-05T07:35:00,walking,Home 20095,St. Pauli U‑Bahn Station,0.4,5,False,none,Walk to the U‑Bahn.
trip_a0f99395143b_00009_leg_002,trip_a0f99395143b_00009,2,2026-01-05T07:37:00,2026-01-05T07:49:00,subway,St. Pauli U‑Bahn Station,Jungfernstieg Station,6.0,12,True,monthly_pass,U3 ride to city centre.
trip_a0f99395143b_00009_leg_003,trip_a0f99395143b_00009,3,2026-01-05T07:50:00,2026-01-05T08:00:00,bike,Jungfernstieg Station,Office City Centre,3.0,10,False,none,Bike the final segment to work.
trip_a0f99395143b_00010_leg_001,trip_a0f99395143b_00010,1,2026-01-05T17:30:00,2026-01-05T17:40:00,bike,Office City Centre,Jungfernstieg Station,3.0,10,False,none,Bike to the subway station.
trip_a0f99395143b_00010_leg_002,trip_a0f99395143b_00010,2,2026-01-05T17:42:00,2026-01-05T17:54:00,subway,Jungfernstieg Station,St. Pauli U‑Bahn Station,6.0,12,True,monthly_pass,U3 back towards home.
trip_a0f99395143b_00010_leg_003,trip_a0f99395143b_00010,3,2026-01-05T17:55:00,2026-01-05T18:00:00,walking,St. Pauli U‑Bahn Station,Home 20095,0.4,5,False,none,Final walk home.
trip_a0f99395143b_00011_leg_001,trip_a0f99395143b_00011,1,2026-01-05T18:20:00,2026-01-05T18:26:00,tram,Office City Centre,St. Pauli Tram Stop,2.0,6,True,monthly_pass,Tram to the gym area.
trip_a0f99395143b_00011_leg_002,trip_a0f99395143b_00011,2,2026-01-05T18:27:00,2026-01-05T18:31:00,walking,St. Pauli Tram Stop,FitX Gym,0.3,4,False,none,Short walk to the gym.
trip_a0f99395143b_00011_leg_003,trip_a0f99395143b_00011,3,2026-01-05T18:32:00,2026-01-05T18:44:00,bike,FitX Gym,Home 20095,4.0,12,False,none,Bike home after the workout.
trip_a0f99395143b_00012_leg_001,trip_a0f99395143b_00012,1,2026-01-06T07:30:00,2026-01-06T07:35:00,walking,Home 20095,St. Pauli U‑Bahn Station,0.4,5,False,none,Walk to the U‑Bahn.
trip_a0f99395143b_00012_leg_002,trip_a0f99395143b_00012,2,2026-01-06T07:37:00,2026-01-06T07:49:00,subway,St. Pauli U‑Bahn Station,Jungfernstieg Station,6.0,12,True,monthly_pass,U3 ride.
trip_a0f99395143b_00012_leg_003,trip_a0f99395143b_00012,3,2026-01-06T07:50:00,2026-01-06T08:00:00,bike,Jungfernstieg Station,Office City Centre,3.0,10,False,none,Bike the final stretch.
trip_a0f99395143b_00013_leg_001,trip_a0f99395143b_00013,1,2026-01-06T17:30:00,2026-01-06T17:40:00,bike,Office City Centre,Jungfernstieg Station,3.0,10,False,none,Bike to subway.
trip_a0f99395143b_00013_leg_002,trip_a0f99395143b_00013,2,2026-01-06T17:42:00,2026-01-06T17:54:00,subway,Jungfernstieg Station,St. Pauli U‑Bahn Station,6.0,12,True,monthly_pass,U3 back.
trip_a0f99395143b_00013_leg_003,trip_a0f99395143b_00013,3,2026-01-06T17:55:00,2026-01-06T18:00:00,walking,St. Pauli U‑Bahn Station,Home 20095,0.4,5,False,none,Final walk home.
trip_a0f99395143b_00014_leg_001,trip_a0f99395143b_00014,1,2026-01-07T07:30:00,2026-01-07T07:35:00,walking,Home 20095,St. Pauli U‑Bahn Station,0.4,5,False,none,Walk to station.
