trip_id,user_id,start_ts,end_ts,weekday,trip_purpose,main_mode,modes_used,distance_km,duration_min,estimated_cost_eur,ticket_product_used,is_commute,is_recurring_pattern,planning_style,priority_reason,generation_batch_index,generation_interval_start_ts,generation_interval_end_ts,origin.city,origin.place_type,origin.label,destination.city,destination.place_type,destination.label
trip_50b10228373a_00011,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-06T18:00:00,2026-01-06T18:30:00,tuesday,leisure,tram,walking|shared_bike|tram|walking,5.2,30,2.0,monthly_pass,False,False,planned,"Uses a shared bike to the tram stop, then tram, keeping the evening outing low‑carbon.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,work,Tech Hub Office,Berlin,restaurant,Restaurant Kreuzberg
trip_50b10228373a_00012,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-06T20:30:00,2026-01-06T20:55:00,tuesday,return_home,tram,walking|tram|walking,3.8,25,0.0,monthly_pass,False,False,routine,Evening tram ride with short walks gets her home safely after dinner.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,restaurant,Restaurant Kreuzberg,Berlin,home,Apartment Berlin-Mitte
trip_50b10228373a_00013,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-07T08:10:00,2026-01-07T08:40:00,wednesday,commute,subway,walking|subway|shared_bike|walking,7.3,30,0.0,monthly_pass,True,True,routine,Standard mixed‑mode commute using the monthly pass and e‑bike for the last stretch.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,work,Tech Hub Office
trip_50b10228373a_00014,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-07T17:20:00,2026-01-07T17:42:00,wednesday,leisure,tram,walking|tram|walking,3.2,22,0.0,monthly_pass,False,False,planned,Evening tram ride with short walks to the cinema fits her frequent cultural outings.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,work,Tech Hub Office,Berlin,cinema,CineStar Berlin
trip_50b10228373a_00015,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-07T20:30:00,2026-01-07T20:55:00,wednesday,return_home,subway,walking|subway|walking,5.8,25,0.0,monthly_pass,False,False,routine,"Subway and short walks provide a quick, safe way home after the late movie.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Berlin,cinema,CineStar Berlin,Berlin,home,Apartment Berlin-Mitte
trip_50b10228373a_00016,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-08T07:30:00,2026-01-08T07:55:00,thursday,commute,public_transport,walking|subway|shared_bike,5.6,25,0.0,monthly_pass,True,True,routine,"Daily office commute using preferred public‑transport and shared e‑bike, matching her hybrid work schedule and monthly pass.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,work,Tech Hub Berlin (Mitte)
trip_50b10228373a_00017,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-08T18:00:00,2026-01-08T18:20:00,thursday,return_home,public_transport,walking|tram|shared_scooter,3.2,20,0.0,monthly_pass,False,True,routine,"Evening return using tram and shared scooter, aligning with her eco‑friendly preferences.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,work,Tech Hub Berlin (Mitte),Berlin,home,Apartment Berlin-Mitte
trip_50b10228373a_00018,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-09T07:35:00,2026-01-09T08:00:00,friday,commute,public_transport,walking|subway|shared_bike,5.6,25,0.0,monthly_pass,True,True,routine,Regular Friday commute using her monthly pass and shared e‑bike.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,work,Tech Hub Berlin (Mitte)
trip_50b10228373a_00019,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-09T17:30:00,2026-01-09T17:44:00,friday,leisure,bike,walking|bike,2.8,14,0.0,none,False,False,spontaneous,"After‑work gym session using her own bike, fitting her fitness habit.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,work,Tech Hub Berlin (Mitte),Berlin,fitness,FitX Berlin
trip_50b10228373a_00020,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-09T19:00:00,2026-01-09T19:08:00,friday,return_home,bike,bike,2.0,8,0.0,none,False,False,routine,"Bike home after gym, keeping the trip eco‑friendly.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,fitness,FitX Berlin,Berlin,home,Apartment Berlin-Mitte
trip_50b10228373a_00021,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-10T14:00:00,2026-01-10T14:18:00,saturday,shopping,public_transport,walking|tram|walking,3.6,18,0.0,monthly_pass,False,False,spontaneous,"Afternoon shopping trip using tram and short walks, fitting her weekend activity pattern.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,shopping,Alexa Mall
trip_50b10228373a_00022,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-10T20:00:00,2026-01-10T20:11:00,saturday,leisure,shared_scooter,walking|shared_scooter|walking,1.3,11,0.0,none,False,False,spontaneous,"Evening cinema visit using a shared scooter for a quick, low‑impact trip.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,cinema,CineStar Berlin
trip_50b10228373a_00023,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-11T10:00:00,2026-01-11T10:40:00,sunday,leisure,regional_train,walking|regional_train|walking,30.7,40,0.0,monthly_pass,False,False,spontaneous,Day trip to Potsdam using regional train covered by her monthly pass.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,home,Apartment Berlin-Mitte,Potsdam,culture,Potsdam Museum
trip_50b10228373a_00024,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-11T18:00:00,2026-01-11T18:40:00,sunday,return_home,regional_train,walking|regional_train|walking,30.7,40,0.0,monthly_pass,False,False,routine,"Return home after day trip, using the same regional train.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Potsdam,culture,Potsdam Museum,Berlin,home,Apartment Berlin-Mitte
trip_50b10228373a_00025,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-12T07:30:00,2026-01-12T07:55:00,monday,commute,public_transport,walking|subway|shared_bike,5.6,25,0.0,monthly_pass,True,True,routine,Monday office commute using her regular multimodal route.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,work,Tech Hub Berlin (Mitte)
trip_50b10228373a_00026,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-12T18:30:00,2026-01-12T18:45:00,monday,leisure,public_transport,walking|tram|walking,2.5,15,0.0,monthly_pass,False,False,spontaneous,"Evening visit to a friend using tram, fitting her frequent social outings.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,work,Tech Hub Berlin (Mitte),Berlin,family_visit,Friend's Flat Prenzlauer Berg
trip_50b10228373a_00027,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-13T07:35:00,2026-01-13T08:00:00,tuesday,commute,public_transport,walking|subway|shared_bike,5.6,25,0.0,monthly_pass,True,True,routine,Standard Tuesday commute using her preferred multimodal route.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,work,Tech Hub Berlin (Mitte)
trip_50b10228373a_00028,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-13T19:00:00,2026-01-13T19:12:00,tuesday,leisure,shared_bike,walking|shared_bike|walking,1.3,12,0.0,none,False,False,spontaneous,"Evening dinner with friends, using a shared bike for a quick trip.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,work,Tech Hub Berlin (Mitte),Berlin,restaurant,Italian Bistro
trip_50b10228373a_00029,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-14T07:30:00,2026-01-14T07:55:00,wednesday,commute,public_transport,walking|subway|shared_bike,5.6,25,0.0,monthly_pass,True,True,routine,Mid‑week commute following her usual multimodal pattern.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,home,Apartment Berlin-Mitte,Berlin,work,Tech Hub Berlin (Mitte)
trip_50b10228373a_00030,50b10228-373a-4007-8ceb-5a97a4dd8541,2026-01-14T20:00:00,2026-01-14T20:14:00,wednesday,leisure,tram,walking|tram|walking,2.4,14,0.0,monthly_pass,False,False,spontaneous,"Evening cinema outing using tram, matching her frequent nightlife activity.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Berlin,work,Tech Hub Berlin (Mitte),Berlin,cinema,CineStar Berlin
trip_a0f99395143b_00001,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-01T07:30:00,2026-01-01T08:00:00,thursday,commute,subway,walking|subway|bike,9.4,30,0.0,monthly_pass,True,True,routine,"Fits Max's regular weekday commute using his monthly public‑transport pass and bike for the last kilometre, matching his statement of taking U‑Bahn and finishing on a bike.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,home,Home 20095,Hamburg,work,Office City Centre
trip_a0f99395143b_00002,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-01T17:30:00,2026-01-01T18:00:00,thursday,return_home,subway,bike|subway|walking,9.4,30,0.0,monthly_pass,False,True,routine,"Standard return home after work, using the same sustainable mode mix as the inbound commute.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,work,Office City Centre,Hamburg,home,Home 20095
trip_a0f99395143b_00003,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-01T18:15:00,2026-01-01T18:39:00,thursday,leisure,bike,tram|walking|bike,6.3,24,0.0,monthly_pass,False,True,routine,"Evening fitness routine after work, using a short tram ride and bike home, matching Max's frequent gym visits.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,work,Office City Centre,Hamburg,fitness,FitX Gym
trip_a0f99395143b_00004,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-02T10:00:00,2026-01-02T10:38:00,friday,leisure,walking,walking|walking,1.2,38,0.0,none,False,False,spontaneous,"A relaxed coffee break on a remote‑work day, using only walking and no ticket.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,home,Home 20095,Hamburg,cafe,Café Elbgold
trip_a0f99395143b_00005,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-03T09:00:00,2026-01-03T10:47:00,saturday,leisure,regional_train,walking|regional_train|walking,71.0,107,15.0,single_ticket,False,False,planned,"Weekend trip to Lübeck to visit a friend, using a regional train ticket as described in Max's statements.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,home,Home 20095,Lübeck,family_visit,Friend's Apartment
trip_a0f99395143b_00006,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-04T10:00:00,2026-01-04T10:15:00,sunday,leisure,bike,bike,5.0,15,0.0,none,False,False,spontaneous,"Morning bike ride to the city park, reflecting Max's high leisure activity intensity.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,home,Home 20095,Hamburg,park,Stadtpark Hamburg
trip_a0f99395143b_00007,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-04T16:00:00,2026-01-04T17:48:00,sunday,return_home,regional_train,walking|regional_train|walking,71.0,108,15.0,single_ticket,False,False,planned,Return journey from Lübeck to Hamburg after the weekend visit.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Lübeck,family_visit,Friend's Apartment,Hamburg,home,Home 20095
trip_a0f99395143b_00008,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-04T19:00:00,2026-01-04T20:25:00,sunday,leisure,walking,walking|walking,1.6,85,0.0,none,False,False,spontaneous,"Evening dinner out, matching Max's frequent nightlife and restaurant visits.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,home,Home 20095,Hamburg,restaurant,Restaurant Fischereihafen
trip_a0f99395143b_00009,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-05T07:30:00,2026-01-05T08:00:00,monday,commute,subway,walking|subway|bike,9.4,30,0.0,monthly_pass,True,True,routine,Regular Monday commute using the same sustainable mix as other weekdays.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,home,Home 20095,Hamburg,work,Office City Centre
trip_a0f99395143b_00010,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-05T17:30:00,2026-01-05T18:00:00,monday,return_home,subway,bike|subway|walking,9.4,30,0.0,monthly_pass,False,True,routine,"Standard return home after the workday, mirroring the inbound commute.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,work,Office City Centre,Hamburg,home,Home 20095
trip_a0f99395143b_00011,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-05T18:20:00,2026-01-05T18:44:00,monday,leisure,bike,tram|walking|bike,6.3,24,0.0,monthly_pass,False,True,routine,"Monday evening gym session, consistent with Max's habit of exercising after work.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,work,Office City Centre,Hamburg,fitness,FitX Gym
trip_a0f99395143b_00012,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-06T07:30:00,2026-01-06T08:00:00,tuesday,commute,subway,walking|subway|bike,9.4,30,0.0,monthly_pass,True,True,routine,Tuesday commute following the established pattern.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,home,Home 20095,Hamburg,work,Office City Centre
trip_a0f99395143b_00013,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-06T17:30:00,2026-01-06T18:00:00,tuesday,return_home,subway,bike|subway|walking,9.4,30,0.0,monthly_pass,False,True,routine,Usual end‑of‑day return home.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,work,Office City Centre,Hamburg,home,Home 20095
trip_a0f99395143b_00014,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-07T07:30:00,2026-01-07T08:00:00,wednesday,commute,subway,walking|subway|bike,9.4,30,0.0,monthly_pass,True,True,routine,"Wednesday commute, completing the four‑day weekly pattern.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,home,Home 20095,Hamburg,work,Office City Centre
trip_a0f99395143b_00015,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-07T17:30:00,2026-01-07T18:00:00,wednesday,return_home,subway,bike|subway|walking,9.4,30,0.0,monthly_pass,False,True,routine,"End‑of‑day return home, concluding the work week.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Hamburg,work,Office City Centre,Hamburg,home,Home 20095
trip_a0f99395143b_00016,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-08T07:30:00,2026-01-08T08:05:00,thursday,commute,subway,walking|subway|walking,10.0,35,0.0,monthly_pass,True,True,routine,Daily office commute using sustainable public transport aligns with his monthly pass and eco‑friendly priority.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,home,Meyer's Apartment,Hamburg,work,Tech Company Office
trip_a0f99395143b_00017,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-08T12:00:00,2026-01-08T12:07:00,thursday,leisure,walking,walking,0.5,7,0.0,none,False,False,spontaneous,Quick walk to a lunch place fits his high activity intensity and short break routine.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,work,Tech Company Office,Hamburg,restaurant,Nearby Lunch Spot
trip_a0f99395143b_00018,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-08T18:30:00,2026-01-08T19:00:00,thursday,leisure,tram,walking|tram,6.0,30,0.0,monthly_pass,False,True,planned,After‑work gym session using tram fits his routine fitness habit and monthly pass.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,work,Tech Company Office,Hamburg,fitness,City Gym
trip_a0f99395143b_00019,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-08T20:30:00,2026-01-08T21:00:00,thursday,return_home,tram,walking|tram,6.0,30,0.0,monthly_pass,False,True,routine,"Standard home‑return after gym, using tram covered by his pass.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,fitness,City Gym,Hamburg,home,Meyer's Apartment
trip_a0f99395143b_00020,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-09T07:45:00,2026-01-09T08:25:00,friday,commute,regional_train,walking|regional_train|bike,12.0,40,0.0,monthly_pass,True,True,routine,"Hybrid workday; uses regional train and bike for a fast, eco‑friendly commute.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,home,Meyer's Apartment,Hamburg,work,Tech Company Office
trip_a0f99395143b_00021,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-09T12:15:00,2026-01-09T12:23:00,friday,leisure,walking,walking,0.6,8,0.0,none,False,False,spontaneous,Short walk to a nearby café for a quick lunch break.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,work,Tech Company Office,Hamburg,restaurant,Office Lunch Café
trip_a0f99395143b_00022,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-09T19:00:00,2026-01-09T19:25:00,friday,leisure,tram,walking|tram,5.0,25,0.0,monthly_pass,False,False,planned,"Evening dinner with friends in HafenCity, using tram covered by his pass.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,work,Tech Company Office,Hamburg,restaurant,HafenCity Dinner
trip_a0f99395143b_00023,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-09T21:30:00,2026-01-09T21:50:00,friday,return_home,shared_scooter,walking|shared_scooter|walking,5.0,20,2.0,none,False,False,spontaneous,"Uses a shared e‑scooter for a quick night‑time return, fitting his flexible mobility style.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,restaurant,HafenCity Dinner,Hamburg,home,Meyer's Apartment
trip_a0f99395143b_00024,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-10T10:00:00,2026-01-10T10:15:00,saturday,leisure,bike,bike,4.0,15,0.0,none,False,False,spontaneous,Weekend bike ride to the city park aligns with his high leisure intensity.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,home,Meyer's Apartment,Hamburg,park,Stadtpark
trip_a0f99395143b_00025,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-10T12:30:00,2026-01-10T12:35:00,saturday,leisure,walking,walking,0.3,5,0.0,none,False,False,spontaneous,Short walk to a café after a park visit.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,park,Stadtpark,Hamburg,cafe,Parkside Café
trip_a0f99395143b_00026,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-10T14:00:00,2026-01-10T14:15:00,saturday,return_home,bike,bike,4.0,15,0.0,none,False,False,routine,Bike back home after a relaxed afternoon.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,cafe,Parkside Café,Hamburg,home,Meyer's Apartment
trip_a0f99395143b_00027,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-11T09:00:00,2026-01-11T10:20:00,sunday,leisure,regional_train,walking|regional_train|walking,71.0,80,0.0,monthly_pass,False,False,planned,"Weekend day trip to Lübeck, using regional train covered by his pass.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,home,Meyer's Apartment,Lübeck,family_visit,Friend's Apartment
trip_a0f99395143b_00028,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-11T18:00:00,2026-01-11T19:20:00,sunday,return_home,regional_train,walking|regional_train|walking,71.0,80,0.0,monthly_pass,False,False,planned,Return from Lübeck using the same sustainable mode covered by his pass.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Lübeck,family_visit,Friend's Apartment,Hamburg,home,Meyer's Apartment
trip_a0f99395143b_00029,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-12T07:20:00,2026-01-12T07:55:00,monday,commute,subway,walking|subway|walking,10.0,35,0.0,monthly_pass,True,True,routine,"Regular Monday commute using subway, matching his monthly pass and sustainability focus.",2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,home,Meyer's Apartment,Hamburg,work,Tech Company Office
trip_a0f99395143b_00030,a0f99395-143b-4bda-b2d0-db294342b173,2026-01-12T18:45:00,2026-01-12T19:20:00,monday,return_home,subway,walking|subway|walking,10.0,35,0.0,monthly_pass,True,True,routine,Standard end‑of‑day return home using his monthly pass.,2,2026-01-08T00:00:00,2026-01-14T23:59:59,Hamburg,work,Tech Company Office,Hamburg,home,Meyer's Apartment
trip_f6597ba619d4_00001,f6597ba6-19d4-4965-89ee-b9fed1fc4db5,2026-01-01T07:30:00,2026-01-01T08:10:00,thursday,commute,car,car|walking,8.0,40,1.6,none,True,True,routine,"Uses car as primary mode for reliable daily school commute, matching family schedule and cost considerations.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Lüneburg,home,Home,Lüneburg,education,Lüneburg Primary School
trip_f6597ba619d4_00002,f6597ba6-19d4-4965-89ee-b9fed1fc4db5,2026-01-01T16:30:00,2026-01-01T17:10:00,thursday,commute,car,walking|car,8.0,40,1.6,none,True,True,routine,"Car provides a quick and reliable way back home after school, fitting the family’s schedule.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Lüneburg,education,Lüneburg Primary School,Lüneburg,home,Home
trip_f6597ba619d4_00003,f6597ba6-19d4-4965-89ee-b9fed1fc4db5,2026-01-02T07:35:00,2026-01-02T08:15:00,friday,commute,car,car|walking,8.0,40,1.6,none,True,True,routine,Morning car commute ensures punctual arrival at school despite possible traffic.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Lüneburg,home,Home,Lüneburg,education,Lüneburg Primary School
trip_f6597ba619d4_00004,f6597ba6-19d4-4965-89ee-b9fed1fc4db5,2026-01-02T16:35:00,2026-01-02T17:15:00,friday,commute,car,walking|car,8.0,40,1.6,none,True,True,routine,Evening car ride provides a comfortable return home after a full teaching day.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Lüneburg,education,Lüneburg Primary School,Lüneburg,home,Home
trip_f6597ba619d4_00005,f6597ba6-19d4-4965-89ee-b9fed1fc4db5,2026-01-03T09:00:00,2026-01-03T09:20:00,saturday,leisure,bike,bike,5.0,20,0.0,none,False,False,planned,"Bike ride offers a healthy, low‑cost way for the family to enjoy the local park.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Lüneburg,home,Home,Lüneburg,park,Stadtpark Lüneburg
trip_f6597ba619d4_00006,f6597ba6-19d4-4965-89ee-b9fed1fc4db5,2026-01-03T12:00:00,2026-01-03T13:00:00,saturday,errands,car,car|car|walking,5.5,60,1.1,none,False,False,planned,"Combines grocery and shopping in one car trip, convenient for the family’s weekend errands.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Lüneburg,home,Home,Lüneburg,shopping,Lüneburg Shopping Center
trip_f6597ba619d4_00007,f6597ba6-19d4-4965-89ee-b9fed1fc4db5,2026-01-03T19:00:00,2026-01-03T20:00:00,saturday,leisure,bus,walking|bus|walking,5.5,60,0.0,monthly_pass,False,False,spontaneous,Uses public transport to avoid parking hassles and lets the children relax on the way to dinner.,1,2026-01-01T00:00:00,2026-01-07T23:59:59,Lüneburg,home,Home,Lüneburg,restaurant,Restaurant Zum See
trip_f6597ba619d4_00008,f6597ba6-19d4-4965-89ee-b9fed1fc4db5,2026-01-04T10:00:00,2026-01-04T11:30:00,sunday,family,regional_train,walking|regional_train|walking,30.8,90,0.0,monthly_pass,False,False,planned,"Regional train lets the family visit relatives without traffic stress, covered by the monthly pass.",1,2026-01-01T00:00:00,2026-01-07T23:59:59,Lüneburg,home,Home,Celle,family_visit,Becker relatives
